RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
276,Control,18,First,no,1,post,6.75,4.6,1.8,4,1.8,5.3,1,3,2
277,Direct,19,Second,no,1,pre,5,2,3.2,2,2.3,4.45,4,4,1
277,Direct,19,Second,no,1,post,4.375,2.8,2.4,2,2.05,4.35,3,2,3
278,Indirect,19,Second,no,1,pre,5.125,3.8,1.4,3.3333333333333335,2.4,4.1,3,2,3
278,Indirect,19,Second,no,1,post,5.125,3.8,1.2,3.3333333333333335,2.2,3.6,3,2,3
279,Control,21,Fourth,yes,1,pre,6,4.2,1.2,3,1.45,5.25,3,5,5
279,Control,21,Fourth,yes,1,post,5.875,3.4,1.4,2.3333333333333335,1.75,5,3,5,5
280,Direct,22,Second,no,1,pre,4.75,3.6,1.2,2.3333333333333335,1.9,4.5,3,3,4
280,Direct,22,Second,no,1,post,5.375,3.6,1,3,1.7,4.85,2,3,4
281,Indirect,21,Third,yes,1,pre,6.75,2.8,1.4,4.333333333333333,1.5,5.45,2,5,3
281,Indirect,21,Third,yes,1,post,6.5,3.2,1.2,4.333333333333333,1.4,5.35,2,5,3
282,Control,20,Third,yes,1,pre,6.625,3,1.4,5,1.45,5.45,2,4,2
282,Control,20,Third,yes,1,post,6,3.2,1.2,5,1.15,5.55,3,4,2
283,Direct,19,First,no,1,pre,4.75,3.2,3.6,2,2.5,4.65,4,5,4
283,Direct,19,First,no,1,post,4.625,3.8,1.8,3.3333333333333335,2,4.45,2,5,4
300,Indirect,19,Second,no,2,pre,5.875,3.2,2.2,4,2.05,4.45,2,5,3
300,Indirect,19,Second,no,2,post,5.625,2.8,2.6,4,1.9,4.7,3,4,3
