RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
67,Control,19,Second,no,1,pre,6.125,3.2,1.8,4,1.2,5.4,4,5,2
67,Control,19,Second,no,1,post,6,3.2,1.4,4.333333333333333,1.15,5.2,3,5,2
68,Direct,18,First,NA,1,pre,6.875,4.2,2.4,5,1.9,5.2,3,5,5
68,Direct,18,First,NA,1,post,6.875,4.6,1.6,5,1.45,5.45,2,5,5
69,Indirect,21,Fourth,no,1,pre,5.75,3,1,3.3333333333333335,1.8,5.05,3,4,5
69,Indirect,21,Fourth,no,1,post,5.625,2.6,1.2,3.6666666666666665,1.85,5.15,2,4,5
70,Control,27,Third,yes,2,pre,5.75,3.8,3,2.6666666666666665,2.7,3.55,4,5,3
70,Control,27,Third,yes,2,post,6.25,3.8,2.2,3.6666666666666665,2.5,4.2,4,5,3
71,Direct,22,Fourth,no,1,pre,5.375,2.2,1.2,3.3333333333333335,1.85,4.45,4,3,3
71,Direct,22,Fourth,no,1,post,5.375,2.6,1.2,3,1.75,4.5,2,4,3
72,Indirect,18,First,no,1,pre,6.25,4.8,2,2.6666666666666665,2.45,3.7,3,3,3
72,Indirect,18,First,no,1,post,6.375,4.6,1.4,2.6666666666666665,2.6,3.7,2,1,3
73,Control,20,Third,yes,1,pre,5.625,3,1.2,3,1.5,4.35,3,5,2
73,Control,20,Third,yes,1,post,5.25,2.6,1,3,1.45,4.3,2,5,2
74,Direct,20,Third,yes,1,pre,6.375,3,1,4.666666666666667,1.4,5.4,2,5,4
74,Direct,20,Third,yes,1,post,6.5,3,1,3.6666666666666665,1.05,5.65,1,5,4
75,Indirect,19,First,no,2,pre,6,2.8,1.4,4.333333333333333,1.85,5.2,3,2,3
75,Indirect,19,First,no,2,post,6.625,3,1,4.666666666666667,1.25,5.4,2,3,3
76,Control,20,First,no,1,pre,6.125,3.2,1.2,3.3333333333333335,1.9,5.2,2,4,3
76,Control,20,First,no,1,post,6.125,3.2,1,3.6666666666666665,1.6,5.2,2,4,3
77,Direct,18,First,no,1,pre,6.125,3.4,2.6,3.3333333333333335,2.6,3.85,3,2,2
77,Direct,18,First,no,1,post,6,3,2.4,4.333333333333333,2.35,4.05,2,3,3
78,Indirect,18,First,no,1,pre,6.375,2.8,1.4,4.333333333333333,1.85,4.6,3,5,3
78,Indirect,18,First,no,1,post,6.125,2.4,1.2,4.333333333333333,1.45,4.85,2,5,4
79,Control,18,First,no,2,pre,6.625,4,1.2,3.6666666666666665,2.1,4.85,4,3,3
79,Control,18,First,no,2,post,6.125,3.6,1,5,1.6,5.15,3,2,3
80,Direct,20,Second,yes,1,pre,3.5,1.4,2.2,2.3333333333333335,3.05,2.15,5,5,2
80,Direct,20,Second,yes,1,post,3.5,1.2,1,2.3333333333333335,3.05,2.35,3,5,3
81,Indirect,19,Second,no,1,pre,4.875,2.8,2,3.3333333333333335,2.2,3.9,3,2,2
81,Indirect,19,Second,no,1,post,4.375,2,1.4,3.3333333333333335,2.45,4.1,2,4,3
82,Control,19,Second,no,1,pre,6.375,4.4,2,3.6666666666666665,1.25,5.4,4,4,4
82,Control,19,Second,no,1,post,6.375,4.2,1.4,3.3333333333333335,1.0526315789473684,5.555555555555555,1,4,3
83,Direct,18,First,no,1,pre,6.75,4.8,1.2,4.333333333333333,1.4,5.15,3,3,4
83,Direct,18,First,no,1,post,6.875,4.8,1.2,4.333333333333333,1.4,5.45,2,3,4
84,Indirect,21,Second,yes,1,pre,5.875,3.2,1.8,3.3333333333333335,2.2,3.7,4,4,3
84,Indirect,21,Second,yes,1,post,6.25,2.8,1.2,4,2.2,4.7,3,4,3
85,Control,19,First,yes,1,pre,5.875,3.6,1.6,3.3333333333333335,1.8,4.75,4,5,4
85,Control,19,First,yes,1,post,5.875,3.6,1.8,3,1.8,4.75,4,5,4
86,Direct,18,First,yes,1,pre,6.625,3.2,1.2,4,1.85,4.8,3,5,2
86,Direct,18,First,yes,1,post,7,4,1,4,1.6,5.15,2,5,3
87,Indirect,18,First,no,1,pre,5.25,3.2,2,1.6666666666666667,2.25,4,4,2,3
87,Indirect,18,First,no,1,post,5.25,2.6,2.6,2.3333333333333335,2.35,4.05,4,1,4
88,Control,22,Fourth,yes,1,pre,6.5,3.6,2.6,2.6666666666666665,2,5,3,5,3
88,Control,22,Fourth,yes,1,post,6.625,4,1.8,3.3333333333333335,1.85,5.35,2,5,3
89,Direct,22,Fourth,yes,1,pre,3.875,3.4,3.4,2.3333333333333335,2.15,4.4,5,3,4
89,Direct,22,Fourth,yes,1,post,4.875,4,2.2,3.3333333333333335,1.4,4.777777777777778,2,4,5
90,Indirect,22,Fourth,yes,1,pre,6.25,4.4,1,4,1.4,5.3,3,5,4
90,Indirect,22,Fourth,yes,1,post,6,2.6,1,3,1.45,4.5,3,5,4
91,Control,20,Third,no,1,pre,6.125,4,1.2,4,1.35,5.2,2,5,4
91,Control,20,Third,no,1,post,6.125,4,1,3.6666666666666665,1.1,5,4,5,4
92,Direct,19,Second,yes,1,pre,5.875,3.8,2.2,4,1.6,5.15,4,5,3
92,Direct,19,Second,yes,1,post,5.75,3.6,2.2,4,1.35,5.3,4,5,3
93,Indirect,19,Second,no,1,pre,5.25,3.6,2.2,1.6666666666666667,2.1052631578947367,3.9,3,5,2
93,Indirect,19,Second,no,1,post,5.375,4.4,1.6,2.6666666666666665,1.95,3.75,2,5,3
