StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
171,5,1,1,5,4,1,4,2,3,1,3,2,3,2,2,5,5,4,4,4,4,4,4,3,1,3,2,5,4,1,1,5,4,5,5,5,5,5,4,1,1,4,5,4,3,4,4,1,3.625,2.25,3.571428571,4,2.8,4.75,4.833333333,4.3,1,3,White,A,A,Junior,3,Psychology,Psychology,23
172,4,1,2,4,3,2,4,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,1,1,2,2,2,4,2,2,4,1,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,3.25,2,2.428571429,3,1.6,4,3.5,4,1,3,White,A,A,Sophomore,3.5,psychology b.s,Psychology,19
173,3,2,3,3,4,1,2,4,1,1,2,3,1,1,1,3,4,4,4,4,4,2,3,1,1,1,2,1,3,2,2,3,1,4,5,3,3,3,2,3,3,1,1,5,4,3,3,2,3.25,1.75,2.571428571,3.25,1.2,3.5,3.166666667,2.9,1,3,White,A,A,Freshman,3.5,Psychology,Psychology,18
174,5,1,1,4,4,1,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,4,3,3,2,3,4,4,5,1,2,5,5,5,5,5,5,5,5,1,1,5,5,4,5,5,5,1,3.75,2,3.142857143,4.25,3.2,4.75,5,4.9,1,3,White,1,A,3,4,1,Psychology,23
175,4,2,3,4,3,4,4,2,3,2,2,2,2,4,4,4,4,4,4,5,4,4,4,3,3,2,4,2,4,2,3,4,1,4,4,2,4,4,4,2,2,4,4,4,4,4,4,2,3.25,2.25,3.714285714,4.25,2.8,3.75,3.166666667,4,1,3,White,A,A,Freshman,4,PharmD,Health Studies,19
176,1,5,5,1,2,2,2,2,3,3,3,4,1,1,1,4,4,2,1,5,5,5,5,4,4,2,4,4,1,5,3,1,5,5,5,3,2,2,4,2,2,4,4,5,4,4,4,2,1.75,3.25,2,5,3.6,1.5,3.666666667,4.1,1,3,White,B,B,Senior,2.5,psychology,Psychology,26
177,2,4,3,2,3,1,2,3,3,3,3,2,4,4,4,4,2,3,3,4,3,4,3,4,3,3,4,2,2,4,3,1,1,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3,2.5,2.75,3.428571429,3.5,3.2,2,3.333333333,2.9,1,3,White,B,B,Sophomore,2.5,Health Studies,Health Studies,20
178,4,2,1,5,4,1,4,2,3,1,1,1,3,4,4,2,4,4,5,4,5,4,4,1,1,1,1,1,4,1,2,5,4,5,5,5,5,4,4,4,4,3,5,4,4,3,4,4,3.375,1.5,3.714285714,4.25,1,4.5,4.666666667,3.3,1,1,Black/African American,A,A,Sophomore,4,Psychology,Psychology,22
179,2,4,4,2,3,3,5,1,5,5,5,4,1,3,3,5,4,3,3,4,4,3,4,5,4,4,5,4,3,4,4,1,3,4,5,3,2,2,3,2,2,3,3,4,2,4,2,3,2,4.75,3.142857143,3.75,4.4,2,3.166666667,3.2,1,3,White,A,A,Junior,3,Psychology,Psychology,23
180,1,3,1,4,5,1,5,5,1,1,1,1,5,1,1,5,1,5,1,5,5,2,5,1,1,1,1,1,5,1,1,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3.125,1,2.714285714,4.25,1,4.75,5,5,1,4,Multiracial,A,A,Junior,4,Psych B.S,Psychology,25
181,2,3,3,3,4,1,1,3,3,3,2,2,3,3,4,1,1,1,1,5,5,4,2,2,3,1,2,2,4,3,2,4,4,4,4,5,4,4,3,1,1,3,5,3,5,3,3,3,3,2.5,2,4,2,3.75,4.166666667,3.8,2,3,White,A,A,post-bac,4,n/a,,36
